# Clean Worktree Gate Evidence

Timestamp: 2026-08-17T19:34:14+07:00
Branch: main
Gate: FAIL

Plan checked: .sisyphus/plans/rspku-settings-admin-ui-refactor.md
Relevant plan constraints: no application code changes before implementation gate, preserve option keys and plugin behavior, target plugin wp-content/plugins/rspku-settings.

## Command: git fetch origin
Exit code: 0

```text
(no output)
```

## Command: git status --short
Exit code: 0

```text
 M .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-local-20260815-0203.json
 M .sisyphus/evidence/reconcile-dry-run.json
 M .sisyphus/evidence/source-2026-normalized.json
 M .sisyphus/evidence/wp-existing-snapshot.json
 M .sisyphus/plans/rekonsiliasi-data-source-2026.md
 M wp-content/plugins/rspku-cpt/includes/class-rspku-cpt-doctor-schedule-admin.php
 M wp-content/plugins/rspku-cpt/includes/class-rspku-cpt-post-types.php
 M wp-content/plugins/rspku-settings/includes/class-rspku-settings-admin.php
 M wp-content/plugins/rspku-settings/includes/class-rspku-settings-defaults.php
 M wp-content/plugins/rspku-settings/includes/class-rspku-settings-registry.php
 M wp-content/themes/rspku-theme/app/Controllers/TemplateController.php
 M wp-content/themes/rspku-theme/app/Repositories/ContentRepository.php
 M wp-content/themes/rspku-theme/app/Repositories/DoctorScheduleRepository.php
 M wp-content/themes/rspku-theme/app/Setup/ThemeSetup.php
 M wp-content/themes/rspku-theme/resources/css/app.css
 M wp-content/themes/rspku-theme/resources/js/app.js
 M wp-content/themes/rspku-theme/resources/views/components/content-card.twig
 M wp-content/themes/rspku-theme/resources/views/layouts/base.twig
 M wp-content/themes/rspku-theme/resources/views/pages/archive-doctor.twig
 M wp-content/themes/rspku-theme/resources/views/pages/archive-layanan.twig
 M wp-content/themes/rspku-theme/resources/views/pages/archive-manajemen-rs.twig
 M wp-content/themes/rspku-theme/resources/views/pages/front-page.twig
 M wp-content/themes/rspku-theme/resources/views/pages/page-berita-artikel.twig
 M wp-content/themes/rspku-theme/resources/views/pages/page-jadwal-dokter.twig
 M wp-content/themes/rspku-theme/resources/views/pages/page-sejarah-kami.twig
